ax_0,ay_0,yaw_0
-0.00929417,-0.133092518,-1.640515542
-0.00929417,-0.133092518,-1.640515542
-0.00929417,-0.133092518,-1.640515542
-0.00929417,-0.133092518,-1.640515542
-0.00929417,-0.133092518,-1.640515542
-0.00929417,-0.133092518,-1.640515542
-0.00929417,-0.133092518,-1.640515542
-0.00929417,-0.133092518,-1.640515542
-0.00929417,-0.133092518,-1.640515542
-0.00929417,-0.133092518,-1.640515542
-0.00929417,-0.133092518,-1.640515542
-0.00929417,-0.133092518,-1.640515542
-0.00929417,-0.133092518,-1.640515542
-0.00929417,-0.133092518,-1.640515542
-0.00929417,-0.133092518,-1.640515542
-0.00929417,-0.133092518,-1.640515542
-0.093584985,0.015551548,2.976921732
-0.093584985,0.015551548,2.976921732
-0.093584985,0.015551548,2.976921732
-0.093584985,0.015551548,2.976921732
-0.093584985,0.015551548,2.976921732
-0.093584985,0.015551548,2.976921732
-0.093584985,0.015551548,2.976921732
-0.093584985,0.015551548,2.976921732
-0.093584985,0.015551548,2.976921732
-0.093584985,0.015551548,2.976921732
-0.093584985,0.015551548,2.976921732
-0.093584985,0.015551548,2.976921732
-0.093584985,0.015551548,2.976921732
-0.093584985,0.015551548,2.976921732
-0.093584985,0.015551548,2.976921732
-0.093584985,0.015551548,2.976921732
-0.093584985,0.015551548,2.976921732
-0.093584985,0.015551548,2.976921732
-0.093584985,0.015551548,2.976921732
-0.093584985,0.015551548,2.976921732
-0.120577761,-0.069720897,-2.617339187
-0.120577761,-0.069720897,-2.617339187
-0.120577761,-0.069720897,-2.617339187
-0.120577761,-0.069720897,-2.617339187
-0.120577761,-0.069720897,-2.617339187
-0.120577761,-0.069720897,-2.617339187
-0.120577761,-0.069720897,-2.617339187
-0.120577761,-0.069720897,-2.617339187
-0.120577761,-0.069720897,-2.617339187
-0.120577761,-0.069720897,-2.617339187
-0.120577761,-0.069720897,-2.617339187
-0.120577761,-0.069720897,-2.617339187
-0.120577761,-0.069720897,-2.617339187
-0.120577761,-0.069720897,-2.617339187
-0.120577761,-0.069720897,-2.617339187
-0.120577761,-0.069720897,-2.617339187
-0.120577761,-0.069720897,-2.617339187
-0.120577761,-0.069720897,-2.617339187
-0.120577761,-0.069720897,-2.617339187
-0.101897523,0.00411032,3.101276726
-0.101897523,0.00411032,3.101276726
-0.101897523,0.00411032,3.101276726
-0.101897523,0.00411032,3.101276726
-0.101897523,0.00411032,3.101276726
-0.101897523,0.00411032,3.101276726
-0.101897523,0.00411032,3.101276726
-0.101897523,0.00411032,3.101276726
