ax-0,ay-0,ax-1,ay-1,ax-2,ay-2
-0.011576007,-0.012837815,0.017275463,-0.003960728,-0.005016018,0.017128878
4.66E-06,0.010892643,-0.008324133,-0.006173077,0.009504905,-0.004459139
-0.001943783,0.010261069,-0.00809353,-0.007126784,0.009983345,-0.003985857
-0.003720523,0.011405965,-0.00769493,-0.009110926,0.011885782,-0.002104004
-0.009971472,0.012664679,-0.006617036,-0.014442168,0.016282314,0.002078499
-0.00125,-6.25E-06,0.000911117,-0.001639039,-0.000729326,-0.001022167
0.000136018,0.000404292,0.000323654,-0.000615029,0.000312327,-0.000177625
-0.000362328,0.000430315,-9.32E-06,-5.39E-06,0.000130742,-0.000279621
-0.000396222,0.00019669,5.43E-05,-0.000272882,0.000376411,9.01E-05
-0.001425598,-0.013339769,0.012465116,0.004820407,-0.008751838,0.009380717
-0.007590234,-0.017950487,0.019870456,0.002747642,-0.012594287,0.015775488
-0.020449101,-0.017513065,0.025142763,-0.009159793,-0.004625631,0.027025073
-0.01141676,-0.012890999,0.017171735,-0.003356555,-0.005681191,0.016965479
-0.002784662,0.010516942,-0.010807953,-0.004190543,0.009257756,-0.005381594
-0.00284096,0.010260291,-0.008606667,-0.007154507,0.010255869,-0.003913839
-0.004716429,0.011212922,-0.008289493,-0.009039739,0.012128918,-0.002306107
-0.010247422,0.012666129,-0.005940794,-0.01456407,0.016182363,0.00204302
-0.000625168,-0.000145906,-0.000504865,-0.000294656,-0.000909398,-0.000555135
-0.000139116,0.000113333,-0.000240818,-0.000463881,0.000159488,0.000872062
-0.000803988,0.000120749,-0.000347061,0.000106965,-4.58E-05,0.000233421
-0.000526806,0.000112755,-7.03E-06,-0.000156309,-7.99E-05,0.000199336
-8.51E-05,-0.014256008,0.012398813,0.005111748,-0.009811231,0.008276163
-0.006985932,-0.018154928,0.02003062,0.003489449,-0.012272834,0.014924011
-0.019886324,-0.017324011,0.02535801,-0.008802247,-0.005015124,0.026146988
-0.010983808,-0.013360029,0.017070157,-0.002872554,-0.005595891,0.015713409
-0.002857087,0.010952396,-0.00724417,-0.007673533,0.009706318,-0.002875594
-0.003051104,0.010433686,-0.007263323,-0.007750339,0.010239674,-0.004181137
-0.004689347,0.011351925,-0.007825488,-0.009827579,0.012454048,-0.001767613
-0.010215169,0.012574381,-0.006017515,-0.015209447,0.016425238,0.002469789
-2.11E-07,-0.0001625,8.14E-05,-0.002127427,-0.000864419,0.000144485
-0.000139935,-0.000240455,-0.000566947,-0.000173826,-0.000583198,0.000183779
-8.93E-05,-2.84E-05,-0.000178049,-0.000416381,-0.000238656,0.000244437
-2.53E-07,-8.16E-05,4.01E-05,-0.000204947,2.44E-05,0.000214152
-0.002432028,-0.012097781,0.013021436,0.006608921,-0.009927083,0.00831765
-0.007307174,-0.018152288,0.020887594,0.003849565,-0.012719668,0.015930484
-0.020520224,-0.017707631,0.025891342,-0.009775922,-0.004445456,0.026867937
-0.011675184,-0.013107928,0.017231843,-0.004105313,-0.005195123,0.016724392
-0.002411478,0.010266524,-0.008074025,-0.006732111,0.010773692,-0.003947459
-0.002992602,0.010345963,-0.008059355,-0.007173676,0.010881377,-0.003872925
-0.004785299,0.010972205,-0.008080172,-0.009680428,0.01251539,-0.002278224
-0.009748338,0.012340901,-0.006155857,-0.015385792,0.016655269,0.002491766
0.000311605,0.000337873,0.000447914,-0.00046331,-0.001588266,-0.002330209
-6.22E-08,-5.92E-05,3.08E-05,0.000177875,-0.000833054,-0.00096123
-8.94E-05,7.03E-05,-3.99E-05,8.00E-05,-0.000467598,-0.000346898
0.000131578,-4.05E-06,1.11E-05,0.000157987,-0.000435042,-0.000431417
-0.00127852,-0.012545173,0.012718461,0.005259143,-0.010181226,0.009430074
-0.006735341,-0.018293349,0.020070488,0.002284028,-0.012166735,0.016526042
-0.020253966,-0.017593067,0.02605841,-0.009661312,-0.004540171,0.027486744
-0.010942231,-0.013314389,0.017274778,-0.00410438,-0.00496455,0.016980974
-0.001151083,0.010229555,-0.008851848,-0.007005919,0.009262144,-0.005706595
-0.001682235,0.010729185,-0.00808653,-0.007065502,0.010477451,-0.004059694
-0.004721126,0.011218498,-0.007818587,-0.009267141,0.011897334,-0.002304212
-0.009887144,0.012914612,-0.006308129,-0.014900257,0.015760644,0.002037853
-0.00093799,-0.000244999,-0.00057359,0.000751237,0.000381581,0.000141168
-0.000277909,-8.48E-05,0.000334658,-0.000769227,-0.00025824,-0.000492395
0.000534191,-0.00023611,4.95E-05,-0.000488243,5.28E-05,0.000175798
-1.02E-06,-0.000163647,-4.56E-05,-0.000102641,-8.74E-05,0.000127311
-0.001273009,-0.012581782,0.012476293,0.005838074,-0.010506981,0.00761377
-0.006536536,-0.018803124,0.020011737,0.002723703,-0.012736294,0.015544563
-0.020255113,-0.017707273,0.025426524,-0.009494396,-0.004612327,0.026993256
-0.011374599,-0.012960868,0.01701783,-0.003752192,-0.005760552,0.016652866
-0.001799914,0.010398847,-0.010050527,-0.004363281,0.009351993,-0.004402449
-0.002946064,0.010598275,-0.008186542,-0.006581888,0.009521567,-0.004340789
-0.004919499,0.011274601,-0.007783657,-0.009153683,0.011285602,-0.002108246
-0.01028061,0.01276128,-0.005943059,-0.0147381,0.0159023,0.001599234
0.000937446,8.29E-05,-0.000821516,0.002050717,-0.000290739,-0.000553824
-0.000557625,-0.000336533,0.000268966,-6.20E-06,0.000262289,0.000169744
8.71E-05,-0.000277739,-9.86E-05,0.000560484,0.000186955,9.87E-05
6.57E-05,-5.05E-05,0.000169175,0.000246415,-9.75E-05,-0.00017159
-0.004005309,-0.013460817,0.014375814,0.003170466,-0.011994991,0.008524778
-0.007655259,-0.018701518,0.021012599,0.0025672,-0.012366525,0.017309681
-0.020766052,-0.017480181,0.025905577,-0.009934667,-0.003876911,0.02790297
-0.011469581,-0.013088546,0.016987026,-0.003847784,-0.004999386,0.017906926
0.00208306,0.009639886,-0.009432227,-0.005840615,0.008918042,-0.005560548
-0.000748595,0.01047924,-0.007786161,-0.0079931,0.009738335,-0.003921099
-0.0042166,0.011393036,-0.008141959,-0.009993885,0.011730512,-0.002339695
-0.009700681,0.013035439,-0.005925687,-0.01556877,0.015597515,0.002151755
0.00125,6.41E-06,0.000366861,0.000210196,-0.000808445,-0.001337455
