ax-0,ay-0,omega-0,ax-1,ay-1,omega-1
-6.48E-05,0.006857098,-0.006110017,-0.002477256,0.006356133,-0.002176293
-0.000493929,0.007620884,-0.006567485,-0.003876371,0.006956697,-0.003124009
-0.002067642,0.008693535,-0.006129843,-0.006266571,0.008842883,-0.00202325
-0.00515137,0.010243045,-0.006342254,-0.009337803,0.011532887,-0.000695872
0.000431911,0.010155087,-0.007591362,-0.008362982,0.00961495,-0.003842717
-0.001634623,0.010530544,-0.007517652,-0.008062361,0.009832907,-0.002721639
-0.003991756,0.01122122,-0.007369512,-0.010081028,0.011750992,-0.00225836
-0.009607568,0.012892674,-0.005931263,-0.015213018,0.016020424,0.002136327
-0.002423269,0.008176939,-0.007359912,-0.004197107,0.008334142,-0.002675049
-0.001660303,0.008654222,-0.007429908,-0.005855672,0.009068293,-0.002735738
-0.003210941,0.009794021,-0.00743185,-0.00777767,0.010540018,-0.00196091
-0.007588832,0.011566197,-0.006522329,-0.012009958,0.014144094,0.000709952
0.000253947,0.006748946,-0.007105748,-0.002049437,0.006912689,-0.001407121
0.00013266,0.007363178,-0.005616309,-0.004115223,0.006995883,-0.001867353
-0.001796112,0.008846382,-0.006737009,-0.005588709,0.008821198,-0.001812927
-0.00453012,0.010547707,-0.006708615,-0.009013854,0.01155536,-0.000468863
-0.00179467,0.010367401,-0.008568198,-0.006741467,0.00952387,-0.004489652
-0.003416843,0.010282748,-0.008167174,-0.007557582,0.010705773,-0.002453046
-0.004058586,0.011350797,-0.007773243,-0.009680851,0.012564157,-0.001722679
-0.009945311,0.012945355,-0.006255978,-0.015333051,0.016369371,0.002473126
-0.000274284,0.008650861,-0.006970707,-0.005857229,0.007442342,-0.004346081
-0.002538434,0.008698996,-0.007442575,-0.006237528,0.009035791,-0.002895655
-0.003537384,0.010327771,-0.007060199,-0.008269012,0.010982173,-0.00160785
-0.007735779,0.011647013,-0.006219557,-0.012394566,0.014212415,0.000859445
0.000576941,0.006703723,-0.004296184,-0.006165657,0.004397728,-0.005403648
-0.000634179,0.007568093,-0.005289527,-0.005689304,0.006473292,-0.003413599
-0.001973709,0.008476468,-0.006037767,-0.006982285,0.00843475,-0.002520316
-0.00467444,0.010136271,-0.00631924,-0.010099733,0.01129701,-0.001064395
-0.003409241,0.010541518,-0.009523685,-0.004743691,0.01026887,-0.004409301
-0.002965909,0.010279979,-0.008853157,-0.006555563,0.010207727,-0.003325816
-0.004218827,0.011121793,-0.008251426,-0.008933651,0.011890993,-0.002033533
-0.009999557,0.013028191,-0.00599522,-0.014613584,0.015869654,0.002241098
0.002508845,0.008863705,-0.008547584,-0.003141934,0.007668312,-0.003763241
-0.000798907,0.009405806,-0.007175449,-0.00598504,0.008903881,-0.003577477
-0.002544281,0.010368451,-0.007637247,-0.007583675,0.010946292,-0.002330129
-0.007089383,0.011986138,-0.006331641,-0.011885198,0.014683798,0.000712601
-0.002204795,0.006331275,-0.005084339,-0.004805861,0.004440976,-0.005078728
-0.001046459,0.007042504,-0.005241093,-0.005441297,0.00588373,-0.003823961
-0.002037555,0.008684663,-0.005986823,-0.006721494,0.008069857,-0.00276771
-0.005049038,0.009887216,-0.006363239,-0.009483228,0.011085454,-0.001190705
-0.000424986,0.009476189,-0.009645679,-0.004027846,0.009020817,-0.004932102
-0.001614019,0.009997222,-0.008734308,-0.006381854,0.009377136,-0.003446931
-0.003296354,0.011653564,-0.007619664,-0.009225262,0.011894763,-0.002854751
